Feature,Group,Precision,Recall
race,Caucasian,0.23519362186788154,0.24053581828771112
race,AfricanAmerican,0.22700587084148727,0.26851851851851855
race,Hispanic,0.3392857142857143,0.38
race,Unknown,0.0,0.0
race,Other,0.2608695652173913,0.3
race,Asian,0.2,0.2
gender,Female,0.24900872323552736,0.250199203187251
gender,Male,0.21940163191296463,0.23818897637795275
age_group,70+,0.21342685370741482,0.1891651865008881
age_group,50-70,0.23163841807909605,0.2469879518072289
age_group,30-50,0.26485148514851486,0.40225563909774437
age_group,0-30,0.4025974025974026,0.6326530612244898
